week,region,price,log_price,price_change
1995-02-27,Midwest,1.068,0.06578774053800315,0.017950411123843095
1995-03-06,Midwest,1.068,0.06578774053800315,0.0
1995-03-13,Midwest,1.057,0.055434706888100524,-0.01035303364990263
1995-03-20,Midwest,1.064,0.0620353909194527,0.006600684031352173
1995-03-27,Midwest,1.08,0.0769610411361284,0.014925650216675697
1995-04-03,Midwest,1.104,0.09893994785490365,0.021978906718775254
1995-04-10,Midwest,1.122,0.11511280710050467,0.016172859245601023
1995-04-17,Midwest,1.137,0.128393214768399,0.013280407667894317
1995-04-24,Midwest,1.16,0.14842000511827322,0.02002679034987423
1995-05-01,Midwest,1.158,0.14669437915080344,-0.0017256259674697794
1995-05-08,Midwest,1.191,0.1747932903731631,0.028098911222359663
1995-05-15,Midwest,1.197,0.17981842657583616,0.005025136202673058
1995-05-22,Midwest,1.224,0.20212418409013433,0.02230575751429817
1995-05-29,Midwest,1.217,0.19638881400539018,-0.005735370084744146
1995-06-05,Midwest,1.217,0.19638881400539018,0.0
1995-06-12,Midwest,1.21,0.1906203596086497,-0.00576845439674048
1995-06-19,Midwest,1.197,0.17981842657583616,-0.010801933032813543
1995-06-26,Midwest,1.185,0.16974277458709455,-0.010075651988741607
1995-07-03,Midwest,1.174,0.16041672140590466,-0.009326053181189897
1995-07-10,Midwest,1.157,0.14583044821153954,-0.014586273194365118
1995-07-17,Midwest,1.142,0.1327811112338184,-0.013049336977721149
1995-07-24,Midwest,1.129,0.12133228516752496,-0.011448826066293424
1995-07-31,Midwest,1.114,0.10795714150509236,-0.013375143662432601
1995-08-07,Midwest,1.116,0.10975086395911929,0.0017937224540269248
1995-08-14,Midwest,1.117,0.11064652008706365,0.0008956561279443581
1995-08-21,Midwest,1.122,0.11511280710050467,0.004466287013441025
1995-08-28,Midwest,1.11,0.10436001532424286,-0.010752791776261816
1995-09-04,Midwest,1.112,0.10616019582839072,0.0018001805041478608
1995-09-11,Midwest,1.109,0.10345870836822997,-0.0027014874601607453
1995-09-18,Midwest,1.112,0.10616019582839072,0.0027014874601607453
1995-09-25,Midwest,1.114,0.10795714150509236,0.0017969456767016473
1995-10-02,Midwest,1.106,0.10074990310014315,-0.007207238404949218
1995-10-09,Midwest,1.092,0.08801087732271337,-0.012739025777429774
1995-10-16,Midwest,1.076,0.07325046173959274,-0.014760415583120634
1995-10-23,Midwest,1.066,0.06391332574365285,-0.009337135995939883
1995-10-30,Midwest,1.049,0.04783732941416006,-0.016075996329492796
1995-11-06,Midwest,1.056,0.054488185284069776,0.006650855869909718
1995-11-13,Midwest,1.059,0.05732506661926935,0.002836881335199576
1995-11-20,Midwest,1.056,0.054488185284069776,-0.002836881335199576
1995-11-27,Midwest,1.061,0.05921185963184603,0.004723674347776256
1995-12-04,Midwest,1.068,0.06578774053800315,0.006575880906157121
1995-12-11,Midwest,1.066,0.06391332574365285,-0.0018744147943502987
1995-12-18,Midwest,1.103,0.0980337402713654,0.03412041452771254
1995-12-25,Midwest,1.103,0.0980337402713654,0.0
1996-01-01,Midwest,1.104,0.09893994785490365,0.0009062075835382516
